,doc_title,doc_id,turn,speaker,text,speaker_bioguide,date
10,VA MEDICAL CENTERS,CREC-2019-02-26-pt1-PgH2105-4,2,Mr. BOST,"  Mr. BOST. Madam Speaker, I say to the people of southern Illinois and 
this country: Your constitutional rights are under assault. If you are 
a law-abiding gun owner, a sportsman, you need to pay attention.
  This week, the House Democrats will bring a bill to the floor that 
will restrict your freedoms and do little to reduce gun violence.
  As a father and a grandfather, I want to reduce gun violence as much 
as anyone, but we have to be smart. We can't get roped into scoring 
political points. That is why I worked with my colleagues on both sides 
of the aisle last year on a measure which is now law to increase 
security for our kids in the schools. But the gun control bill being 
considered this week makes it harder for law-abiding citizens to defend 
themselves and others against criminals who have guns.
  We need to enforce the laws already on the books, not limit the 
rights of law-abiding citizens who want to protect their families.
",B001295,2019-02-26
11,RECOGNIZING OAKWOOD POLICE CHIEF RANDALL MOON'S SERVICE,CREC-2019-02-26-pt1-PgE211-3,0,Mr. COLLINS of Georgia,"  Mr. COLLINS of Georgia. Madam Speaker, I rise today to recognize Mr. 
Randall Moon, who is retiring this week after serving as Oakwood City 
Police Chief for the past 25 years.
  Mr. Moon started with the Oakwood Police Department in 1990 and was 
quickly promoted to Chief in June of 1994. Over the past 29 years, Mr. 
Moon has witnessed the police force grow from seven officers to sixteen 
officers and has been key in assisting the department as they have 
worked to grow the department with an ever-changing city. Through it 
all, he is most proud of ``maintaining an excellent workplace, with 
excellent pay and benefits.''
  Mr. Moon credits a presentation on bike safety, given to his second-
grade class by two Georgia State Patrol troopers, as the catalyst for 
his desire to work in law enforcement. Ever since, Mr. Moon knew law 
enforcement was his calling, and he has since served in law enforcement 
for over 34 years, including 29 years in Oakwood.
  He leaves his successor with a few words of wisdom: be a friend, be a 
family, as that's what sets Oakwood apart from other police 
departments.
  The citizens of Northeast Georgia are fortunate to have men like Mr. 
Moon serving our communities. I thank Mr. Moon for his exemplary 
service, and I wish him all the best in his retirement.
",C001093,2019-02-26
12,CLOTURE MOTION,CREC-2019-02-26-pt1-PgS1467,0,The PRESIDING OFFICER,"  The PRESIDING OFFICER. Pursuant to rule XXII, the Chair lays before 
the Senate the pending cloture motion, which the clerk will state.",,2019-02-26
13,CLOTURE MOTION,CREC-2019-02-26-pt1-PgS1467,1,The PRESIDING OFFICER,"  The PRESIDING OFFICER. By unanimous consent, the mandatory quorum 
call has been waived.
  The question is, Is it the sense of the Senate that debate on the 
nomination of Michael J. Desmond, of California, to be Chief Counsel 
for the Internal Revenue Service and an Assistant General Counsel in 
the Department of the Treasury, shall be brought to a close?
  The yeas and nays are mandatory under the rule.
  The clerk will call the roll.
  The senior assistant bill clerk called the roll.",,2019-02-26
14,CLOTURE MOTION,CREC-2019-02-26-pt1-PgS1467,2,Mr. DURBIN,"  Mr. DURBIN. I announce that the Senator from Arizona (Ms. Sinema) is 
necessarily absent.",D000563,2019-02-26
15,CLOTURE MOTION,CREC-2019-02-26-pt1-PgS1467,3,The PRESIDING OFFICER,"  The PRESIDING OFFICER. Are there any other Senators in the Chamber 
desiring to vote?",,2019-02-26
16,CLOTURE MOTION,CREC-2019-02-26-pt1-PgS1467,4,The PRESIDING OFFICER,"  The PRESIDING OFFICER. On this vote, the yeas are 84, the nays are 
15.
  The motion is agreed to.
",,2019-02-26
17,ANNOUNCEMENT BY THE SPEAKER PRO TEMPORE,CREC-2019-02-26-pt1-PgH2141,0,The SPEAKER pro tempore,"  The SPEAKER pro tempore. Pursuant to clause 8 of rule XX, the Chair 
will postpone further proceedings today on motions to suspend the rules 
on which a recorded vote or the yeas and nays are ordered, or votes 
objected to under clause 6 of rule XX.
  The House will resume proceedings on postponed questions at a later 
time.
",,2019-02-26
18,THE STORY OF MICHAEL COHEN,CREC-2019-02-26-pt1-PgH2220-5,0,Mr. GAETZ,"  Mr. GAETZ. Madam Speaker, I guess tomorrow we will find out if there 
is anyone that Michael Cohen hasn't lied to. We already know he lied to 
Congress. We already know he lied to law enforcement, lied to the IRS, 
lied to three banks, and he is going to prison for his lies. So I guess 
it will be relevant for us to determine: Does he lie to his own family? 
Does he lie to his financiers? Does he lie to his financiers who are 
members of his family?
  It will be one heck of an inquiry for us because this is someone who 
has tangled such a web of lies that he is not to be believed. I think 
it is entirely appropriate for any Member of this body to challenge the 
truthfulness, veracity, and character of people who have a history of 
lying and have a future that undoubtedly contains nothing but lies. 
That is the story of Michael Cohen.
  We will see it play out tomorrow, and I for one can't wait to get to 
the bottom of things and can't wait to get to the truth.
",G000578,2019-02-26
19,EXECUTIVE SESSION,CREC-2019-02-26-pt1-PgS1448-3,0,The PRESIDING OFFICER,"  The PRESIDING OFFICER. Under the previous order, the Senate will 
proceed to executive session and resume consideration of the following 
nomination, which the clerk will report.
  The senior assistant legislative clerk read the nomination of Eric D. 
Miller, of Washington, to be United States Circuit Judge for the Ninth 
Circuit.",,2019-02-26
20,EXECUTIVE SESSION,CREC-2019-02-26-pt1-PgS1448-3,1,Mr. McCONNELL,"  Mr. McCONNELL. Madam President, I suggest the absence of a quorum.",M000355,2019-02-26
21,EXECUTIVE SESSION,CREC-2019-02-26-pt1-PgS1448-3,2,The PRESIDING OFFICER,"  The PRESIDING OFFICER. The clerk will call the roll.
  The senior assistant legislative clerk proceeded to call the roll.",,2019-02-26
22,EXECUTIVE SESSION,CREC-2019-02-26-pt1-PgS1448-3,3,Mr. SCHUMER,"  Mr. SCHUMER. Madam President, I ask unanimous consent that the order 
for the quorum call be rescinded.",S000148,2019-02-26
23,EXECUTIVE SESSION,CREC-2019-02-26-pt1-PgS1448-3,4,The PRESIDING OFFICER,"  The PRESIDING OFFICER. Without objection, it is so ordered.


                   Recognition Of The Minority Leader
",,2019-02-26
24,EXECUTIVE SESSION,CREC-2019-02-26-pt1-PgS1448-3,5,The PRESIDING OFFICER,"  The PRESIDING OFFICER. The Democratic leader is recognized.


                   Declaration of National Emergency
",,2019-02-26
